horizon_days,arm,neutralize,oos_months,months_traded,mean_net_bps,ci_low_bps,ci_high_bps,t_stat,nw_t,ann_sharpe,hit_rate,max_drawdown_bps,mean_rank_ic,ic_t,ic_months
30,finbert,log_mcap,24,12,-9.793632004316798,-46.17319892251117,26.585934913877576,-0.5568969917902215,-0.5865525664049512,-0.3937856393172547,0.20833333333333334,445.58432282721526,0.011738128204475479,0.5229672817739831,12
30,lexical,log_mcap,24,0,0.0,,,0.0,,0.0,0.0,0.0,,,0
30,subjectivity,log_mcap,24,10,-1.0128306204768966,-28.402239250793105,26.376578009839314,-0.07649671445610873,-0.06414090442408861,-0.05409134553040549,0.20833333333333334,368.11457059258873,0.013033064538265563,0.6423727814348779,10
30,combined,log_mcap,24,8,1.465502992382565,-27.07209773861665,30.003103723381784,0.10623261383676709,0.09781021287723655,0.07511780162714986,0.20833333333333334,322.5129194292965,0.017479385983955965,0.6877971168183671,8
90,finbert,log_mcap,21,20,87.30802852764965,2.0400575856569825,172.57599946964234,2.135870645795226,3.686628671070614,1.6145664461077407,0.5714285714285714,173.8974184314555,0.0376392016078662,2.9268626890193485,20
90,lexical,log_mcap,21,5,-29.394175440972578,-64.98530260242428,6.196951720479132,-1.722765768396299,-1.2285969526243898,-1.302288511540487,0.047619047619047616,671.0815321645377,-0.047301558376797594,-2.552246982159398,5
90,subjectivity,log_mcap,21,12,-46.43077068806054,-131.65324056156152,38.791699185440436,-1.1364712924589029,-1.349839041674761,-0.8590915462886893,0.23809523809523808,1113.0755233256375,-0.024155934043815067,-1.102947019135871,12
90,combined,log_mcap,21,16,38.263468564467345,-51.0084901553279,127.53542728426258,0.8940791479843132,1.309735901935094,0.6758603079928597,0.47619047619047616,356.90165517364784,0.02617894537296239,1.8444839702751445,16
180,finbert,log_mcap,16,16,307.04397112353683,170.17438518835138,443.9135570587223,4.781549737631598,4.297342620683002,4.140943542247781,0.9375,2.7949450746761473,0.06747708819721382,7.504061689296986,16
180,lexical,log_mcap,16,5,-4.599455286288176,-125.86605625989499,116.66714568731864,-0.08084259640389471,-0.14439206981284866,-0.07001174219366532,0.1875,538.7967790959979,-0.010094768838214701,-0.34542729822552454,5
180,subjectivity,log_mcap,16,5,17.452624349628678,-125.08361154912211,159.98886024837947,0.2609819741926238,0.3077729094499002,0.22601701958062698,0.1875,648.0673276107791,-0.02528819486615575,-0.6920345816747022,5
180,combined,log_mcap,16,15,174.44163898885972,47.721703692874,301.1615742848454,2.9341362215901157,2.7311209922314372,2.541036506061127,0.625,126.02640079575362,0.0368111434162321,2.9573099110554355,15
